name,death_year,canonization_year,origin_country,category,religious_order,feast_month,feast_day,gender,patron_topics,canonizing_pope,wikipedia_summary
Felicity,203,1000,Tunisia,Martyr,,3.0,7.0,F,martyrs,Pre-Congregation,Felicity may refer to:
Anthony of Egypt,356,1000,Egypt,Confessor,,1.0,17.0,M,"monks, skin diseases",Pre-Congregation,"Anthony the Great (c. 12 January 251 – 17 January 356) was a Christian monk from Egypt, revered since his death as a saint. He is distinguished from other saints named Anthony, such as Anthony of Padua, by various epithets: Anthony of Egypt, Anthony the Abbot, Anthony of the Desert, Anthony the Anchorite, Anthony the Hermit, and Anthony of Thebes. For his importance among the Desert Fathers and to all later Christian monasticism, he is also known as the Father of All Monks. His feast day is cele"
Nicholas of Myra,343,1000,Turkey,Confessor,,12.0,6.0,M,"children, sailors, merchants",Pre-Congregation,"Saint Nicholas of Myra (traditionally 15 March 270 – 6 December 343), also known as Nicholas of Bari, was an early Christian bishop of Greek descent from the maritime city of Patara in Anatolia (in modern-day Antalya Province, Turkey) during the time of the Roman Empire. Because of the many miracles attributed to his intercession, he is also known as Nicholas the Wonderworker.  Saint Nicholas is the patron saint of sailors, merchants, archers, repentant thieves, children, brewers, pawnbrokers, t"
Ambrose of Milan,397,1000,Italy,Doctor,,12.0,7.0,M,"beekeepers, learning",Pre-Congregation,"Ambrose of Milan (Latin: Aurelius Ambrosius; c. 339 – 4 April 397), canonized as Saint Ambrose, was a theologian and statesman who served as Bishop of Milan from 374 to 397. 
Ambrose was serving as the Roman governor of Aemilia-Liguria in Milan when he was unexpectedly made Bishop of Milan in 374 by popular acclamation. As bishop, he took a firm position against Arianism and attempted to mediate the conflict between the emperors Theodosius I and Magnus Maximus. 
He also left a substantial collec"
Augustine of Hippo,430,1000,Algeria,Doctor,,8.0,28.0,M,"theologians, brewers",Pre-Congregation,"Augustine of Hippo ( aw-GUST-in, US also  AW-gə-steen; Latin: Aurelius Augustinus Hipponensis; 13 November 354 – 28 August 430) was a Christian theologian and philosopher from Roman Africa. He was the bishop of Hippo Regius from Thagaste in Numidia Cirtensis, (present-day Souk Ahras, Algeria). His writings deeply influenced the development of Western philosophy and Western Christianity, and he is viewed as one of the most important Church Fathers of the Latin Church in the Patristic Period. His "
Jerome,420,1000,Croatia,Doctor,,9.0,30.0,M,"librarians, scholars",Pre-Congregation,"Jerome (; Latin: Eusebius Sophronius Hieronymus; Ancient Greek: Εὐσέβιος Σωφρόνιος Ἱερώνυμος; c. 342–347 – 30 September 420), also known as Jerome of Stridon, was an early Christian priest, confessor, theologian, translator, and historian; he is commonly known as Saint Jerome.
He is best known for his translation of the Bible into Latin (the translation that became known as the Vulgate) and his commentaries on the whole Bible. Jerome attempted to create a translation of the Old Testament based o"
Martin of Tours,397,1000,Hungary,Confessor,,11.0,11.0,M,"soldiers, beggars, France",Pre-Congregation,"Martin of Tours (Latin: Martinus Turonensis; 316/336 – 8 November 397) was the third bishop of Tours. He is the patron saint of many communities and organizations across Europe, including France's Third Republic. A native of Pannonia (present-day Hungary), he converted to Christianity at a young age. He served in the Roman cavalry in Gaul, but left military service prior to 361, when he became a disciple of Hilary of Poitiers, establishing the monastery at Ligugé. He was consecrated as Bishop of"
Patrick of Ireland,461,1000,Britain,Confessor,,3.0,17.0,M,"Ireland, engineers",Pre-Congregation,"Saint Patrick was a fifth-century Romano-British Christian missionary and bishop in Ireland. Known as the ""Apostle of Ireland"", he is the primary patron saint of Ireland, the other patron saints being Brigid of Kildare and Columba. He is also the patron saint of Nigeria. Patrick is venerated as a saint in the Catholic Church, the Lutheran Church, the Church of Ireland (part of the Anglican Communion), and in the Eastern Orthodox Church, where he is regarded as equal-to-the-apostles and Enlighten"
Leo the Great,461,1000,Italy,Doctor,,11.0,10.0,M,"musicians, popes",Pre-Congregation,"Pope Leo I (Italian: Leone I) (c. 391 – 10 November 461), also known as Leo the Great (Latin: Leo Magnus; Italian: Leone Magno), was Bishop of Rome from 29 September 440 until his death on 10 November 461. He is the first of the three Popes listed in the Annuario Pontificio with the title ""the Great"", alongside Popes Gregory I and Nicholas I.
Leo was a Roman aristocrat. He is perhaps best known for meeting Attila the Hun in 452 and persuading him to turn back from his invasion of Italy, though h"
Benedict of Nursia,547,1000,Italy,Confessor,Benedictine,7.0,11.0,M,"monks, Europe, students",Honorius III (equivalent),"Benedict of Nursia (Latin: Benedictus Nursiensis; Italian: Benedetto da Norcia; 2 March 480 – 21 March 547), often known as Saint Benedict, was a monk and the founder of the Order of Saint Benedict. He is famed in the Catholic Church, the Eastern Orthodox Church, the Lutheran Churches, the Anglican Communion, and Old Catholic Churches. In 1964, Pope Paul VI declared Benedict a patron saint of Europe.
Benedict founded twelve communities for monks at Subiaco in present-day Lazio, Italy (about 65 k"
Gregory the Great,604,1000,Italy,Doctor,Benedictine,9.0,3.0,M,"musicians, teachers, popes",Boniface IV (equivalent),"Pope Gregory I (Latin: Gregorius I; Gregorio I; c. 540 – 12 March 604), commonly known as Saint Gregory the Great (Latin: Sanctus Gregorius Magnus; Italian: San Gregorio Magno), was the 64th Bishop of Rome from 3 September 590 until his death on 12 March 604.
A Roman senator's son, and himself the prefect of Rome at 30, Gregory lived in a monastery that he established on his family estate before becoming a papal ambassador and then pope. During his papacy, his administration greatly surpassed th"
Isidore of Seville,636,1000,Spain,Doctor,,4.0,4.0,M,"internet, students",Innocent XIII,"Isidore of Seville (Latin: Isidorus Hispalensis; c. 560 – 4 April 636) was a Hispano-Roman scholar, theologian and archbishop of Seville. He is widely regarded, in the words of the 19th-century historian Charles Forbes René de Montalembert, as ""the last scholar of the ancient world"".
At a time of disintegration of classical culture, aristocratic violence, and widespread illiteracy, Isidore was involved in the conversion of the Arian Visigothic kings to Catholicism, both assisting his brother Lea"
Bede the Venerable,735,1000,England,Doctor,Benedictine,5.0,25.0,M,"historians, lectors",Leo XIII,"Bede (; Old English: Bēda [ˈbeːdɑ]; 672/3 – 26 May 735), also known as the Venerable Bede or Bede the Venerable, was an English monk, author and scholar. He was one of the best known writers during the Early Middle Ages, and his most famous work, Ecclesiastical History of the English People, gained him the title ""The Father of English History"". He served at the monastery of St Peter and its companion monastery of St Paul in the Kingdom of Northumbria of the Angles. 
Born on lands belonging to th"
Boniface,754,1000,England,Martyr,Benedictine,6.0,5.0,M,"Germany, brewers",Pre-Congregation,"Boniface  (born Wynfreth; c. 675 – 5 June 754) was an English Benedictine monk and leading figure in the Anglo-Saxon mission to the Germanic parts of Francia during the eighth century. He organised significant foundations of the church in Germany and was made Archbishop of Mainz by Pope Gregory III. He was martyred in Frisia in 754, along with 52 others, and his remains were returned to Fulda, where they rest in a sarcophagus which remains a site of Christian pilgrimage.
Boniface's life and deat"
John of Damascus,749,1000,Syria,Doctor,,12.0,4.0,M,"icon painters, pharmacists",Leo XIII,"John of Damascus or John Damascene, born Yūḥana ibn Manṣūr ibn Sarjūn, was a Christian monk, priest, hymnographer, and apologist. He was born and raised in Damascus c. AD 675 or AD 676; the precise date and place of his death is not known, though tradition places it at his monastery, Mar Saba, near Jerusalem, on 4 December AD 749. A polymath whose fields of interest and contribution included law, theology, philosophy, and music, he was given the by-name of Chrysorroas (Χρυσορρόας, literally ""str"
Cyril,869,1000,Greece,Confessor,,2.0,14.0,M,"Slavic peoples, ecumenism",John Paul II,"Cyril (also Cyrillus or Cyryl) is a masculine given name. It is derived from the Greek name Κύριλλος (Kýrillos), meaning 'lordly, masterful', which in turn derives from Greek κυριος (kýrios) 'lord'. There are various variant forms of the name Cyril such as Cyrill, Cyrille, Ciril, Kirill, Kiryl, Kirillos, Kyrylo, Kiril, Kiro, Kyril, Kyrill and Quirrel.
It may also refer to:"
Methodius,885,1000,Greece,Confessor,,2.0,14.0,M,"Slavic peoples, Europe",John Paul II,"Methodios (Koine Greek: Μεθόδιος) rendered in Latin as Methodius, is a Greek masculine given name, meaning ""companion traveler"". It is also rendered Mefodiy (Russian: Мефодий), Metodije (Serbian: Методије), etc. It may refer to:

Methodius of Olympus (d. 311), Christian bishop, church father, and martyr
Methodios I of Constantinople (c. 790–847), patriarch of Constantinople
Saint Methodius of Thessaloniki (826–885), Byzantine Greek archbishop of Moravia and scholar, associated with Cyril
Methodi"
Anselm of Canterbury,1109,1000,Italy,Doctor,Benedictine,4.0,21.0,M,theologians,Clement XI,"Anselm of Canterbury OSB (; 1033/4–1109), also known as Anselm of Aosta (French: Anselme d'Aoste, Italian: Anselmo d'Aosta) after his birthplace and Anselm of Bec (French: Anselme du Bec) after his monastery, was an Italian Benedictine monk, abbot, philosopher, and theologian of the Catholic Church, who served as Archbishop of Canterbury from 1093 to 1109.
As Archbishop of Canterbury, he defended the church's interests in England amid the Investiture Controversy. For his resistance to the Englis"
Bernard of Clairvaux,1153,1000,France,Doctor,Cistercian,8.0,20.0,M,"beekeepers, candle makers, Gibraltar",Alexander III,"Bernard of Clairvaux, O.Cist. (Latin: Bernardus Claraevallensis; 1090 – 20 August 1153), venerated as Saint Bernard, was an abbot, mystic, co-founder of the Knights Templar, and a major leader in the reform of the Benedictines through the nascent Cistercian Order.
Bernard was sent to found Clairvaux Abbey only a few years after becoming a monk at Cîteaux. In 1128, Bernard attended the Council of Troyes, at which he traced the outlines of the Rule of the Knights Templar, which soon became an idea"
Hildegard of Bingen,1179,2012,Germany,Doctor,Benedictine,9.0,17.0,F,"musicians, writers, natural sciences",Benedict XVI,"Hildegard of Bingen OSB (German: Hildegard von Bingen, pronounced [ˈhɪldəɡaʁt fɔn ˈbɪŋən]; Latin: Hildegardis Bingensis; c. 1098 – 17 September 1179), also known as the Sibyl of the Rhine, was a German Benedictine abbess and polymath active as a writer, composer, philosopher, mystic, visionary, and as a medical writer and practitioner of the Catholic Church during the High Middle Ages. She is one of the best-known composers of sacred monophony, as well as the most recorded in modern history. A n"
Francis of Assisi,1226,1228,Italy,Confessor,Franciscan,10.0,4.0,M,"animals, ecology, Italy",Gregory IX,"Giovanni di Pietro di Bernardone (c. 1181–3 October 1226), known as Francis of Assisi, was an Italian mystic, poet and Catholic friar who founded the religious order of the Franciscans. Inspired to lead a Christian life of poverty, he became a beggar and an itinerant preacher.
One of the most venerated figures in Christianity, Francis was canonized by Pope Gregory IX on 16 July 1228. He is commonly portrayed wearing a brown habit with a rope tied around his waist, featuring three knots symbolizi"
Clare of Assisi,1253,1255,Italy,Confessor,Franciscan,8.0,11.0,F,"television, eye diseases, laundry",Alexander IV,"Chiara Offreduccio (16 July 1194 – 11 August 1253), known as Clare of Assisi (sometimes spelled Clara, Clair or Claire; Italian: Chiara d'Assisi), is an Italian saint who was one of the first followers of Francis of Assisi.
Inspired by the teachings of St. Francis, St. Clare founded the Order of Poor Ladies, a monastic religious order for women in the Franciscan tradition. The Order of Poor Ladies was different from any other order or convent because it followed a rule of strict poverty. Clare w"
Anthony of Padua,1231,1232,Portugal,Doctor,Franciscan,6.0,13.0,M,"lost items, poor, travelers",Gregory IX,"Anthony of Padua, OFM, or Anthony of Lisbon; born Fernando Martins de Bulhões (15 August 1195 – 13 June 1231) was a Portuguese Catholic priest and member of the Order of Friars Minor.
Anthony was born to and raised by a wealthy family in Lisbon, Portugal, and died in Padua, Italy. Noted by his contemporaries for his powerful preaching, expert knowledge of scripture, and undying love and devotion to the poor and the sick, he was one of the most quickly canonized saints in church history, being ca"
Dominic de Guzman,1221,1234,Spain,Confessor,Dominican,8.0,8.0,M,"astronomers, Dominican Republic",Gregory IX,"Saint Dominic  (Spanish: Santo Domingo; 8 August 1170 – 6 August 1221), also known as Dominic de Guzmán (Spanish: [ɡuθˈman]), was a Castilian Catholic priest and the founder of the Dominican Order. He is the patron saint of astronomers and natural scientists, and he and his order are traditionally credited with spreading and popularizing the rosary."
Thomas Aquinas,1274,1323,Italy,Doctor,Dominican,1.0,28.0,M,"students, schools, theologians",John XXII,"Thomas Aquinas  (  ə-KWY-nəs; Italian: Tommaso d'Aquino, lit. 'Thomas of Aquino'; c. 1225 – 7 March 1274) was an Italian Dominican friar and priest, theologian, and philosopher. He is considered one of the most influential thinkers in the history of Catholic theology and Western philosophy.
Thomas was a proponent of natural theology and the father of a school of thought (encompassing both theology and philosophy) known as Thomism. He argued that God is the source of the light of natural reason a"
Bonaventure,1274,1482,Italy,Doctor,Franciscan,7.0,15.0,M,bowel disorders,Sixtus IV,"Bonaventure  ( BON-ə-ven-chər, -⁠VEN-; Italian: Bonaventura da Bagnoregio [ˌbɔnavenˈtuːra da (b)baɲɲoˈrɛːdʒo]; Latin: Bonaventura de Balneoregio; born Giovanni di Fidanza; 1221 – 15 July 1274) was an Italian Catholic Franciscan bishop, cardinal, scholastic theologian and philosopher.
The seventh Minister General of the Order of Friars Minor, he also served for a time as Bishop of Albano. He was canonised on 14 April 1482 by Pope Sixtus IV. In 1588 Pope Sixtus V declared him a Doctor of the Churc"
Albert the Great,1280,1931,Germany,Doctor,Dominican,11.0,15.0,M,"scientists, medical technicians",Pius XI,"Albertus Magnus  (c. 1200 – 15 November 1280), also known as Saint Albert the Great, Albert of Swabia, Albert von Bollstadt, or Albert of Cologne, was a German Dominican friar, philosopher, scientist, and bishop. He is considered one of the greatest medieval philosophers and thinkers.
Canonized in 1931, he was known during his lifetime as Doctor universalis and Doctor expertus; late in his life the sobriquet Magnus was appended to his name. Scholars such as James A. Weisheipl and Joachim R. Söde"
Louis IX of France,1270,1297,France,Confessor,,8.0,25.0,M,"French monarchy, crusaders",Boniface VIII,"Louis IX (25 April 1214 – 25 August 1270), also known as Saint Louis, was King of France from 1226 until his death in 1270. He is widely recognized as the most distinguished of the Direct Capetians. Following the death of his father, Louis VIII, he was crowned in Reims at the age of 12. His mother, Blanche of Castile, effectively ruled the kingdom as regent until he came of age, and continued to serve as his trusted adviser until her death. During his formative years, Blanche successfully confro"
Elizabeth of Hungary,1231,1235,Hungary,Confessor,Franciscan,11.0,17.0,F,"bakers, beggars, charity workers",Gregory IX,"Elizabeth of Hungary (German: Heilige Elisabeth von Thüringen, Hungarian: Árpád-házi Szent Erzsébet, Slovak: Svätá Alžbeta Uhorská; 7 July 1207 – 17 November 1231), also known as Elisabeth of Thuringia, was a princess of the Kingdom of Hungary and the landgravine of Thuringia.
Elizabeth was married at the age of 14, and widowed at 20. After her husband's death, she regained her dowry, using the money to build a hospital where she herself served the sick. She became a symbol of Christian charity "
Thomas Becket,1170,1173,England,Martyr,,12.0,29.0,M,"clergy, secular clergy",Alexander III,"Thomas Becket ( ), also known as Saint Thomas of Canterbury, Thomas of London and later Thomas à Becket (21 December 1119 or 1120 – 29 December 1170), was an English cleric and statesman who served as Lord Chancellor from 1155 to 1162, and then as Archbishop of Canterbury from 1162 until his death in 1170. He is known for his conflict with King Henry II over the rights and privileges of the Church and was murdered by followers of the king in Canterbury Cathedral. He was canonised by Pope Alexand"
Francis Xavier,1552,1622,Spain,Confessor,Jesuit,12.0,3.0,M,"missions, Japan, India",Gregory XV,"Francis Xavier, (born Francisco de Jasso y Azpilicueta; Latin: Franciscus Xaverius; Basque: Xabierkoa; French: François Xavier; Spanish: Francisco Javier; Portuguese: Francisco Xavier; 7 April 1506 – 3 December 1552) venerated as Saint Francis Xavier, was a Navarrese cleric and missionary. He co-founded the Society of Jesus and, as a representative of the Portuguese Empire, led the first Christian mission to Japan.
Born in the town of Xavier, Kingdom of Navarre, he was a companion of Ignatius of"
Ignatius of Loyola,1556,1622,Spain,Confessor,Jesuit,7.0,31.0,M,"Jesuits, soldiers, retreats",Gregory XV,"Ignatius of Loyola  ( ig-NAY-shəs; Basque: Ignazio Loiolakoa; Spanish: Ignacio de Loyola; Latin: Ignatius de Loyola; born Íñigo López de Oñaz y Loyola; c. 23 October 1491 – 31 July 1556), venerated as Saint Ignatius of Loyola, was a Spanish Catholic priest and theologian, who, with six companions, founded the religious order of the Society of Jesus (Jesuits), and became its first Superior General, in Paris in 1541.
Ignatius envisioned the purpose of the Society of Jesus to be missionary work and"
Teresa of Avila,1582,1622,Spain,Doctor,Carmelite,10.0,15.0,F,"headache sufferers, Spain, chess players",Gregory XV,"Teresa of Ávila  (born Teresa Sánchez de Cepeda Dávila y Ahumada; 28 March 1515 – 4 or 15 October 1582), also called Saint Teresa of Jesus, was a Carmelite nun and prominent Spanish mystic and religious reformer.
Active during the Counter-Reformation, Teresa became the central figure of a movement of spiritual and monastic renewal, reforming the Carmelite Orders of both women and men. The movement was later joined by the younger Carmelite friar and mystic Saint John of the Cross, with whom she e"
John of the Cross,1591,1726,Spain,Doctor,Carmelite,12.0,14.0,M,"contemplatives, mystics, poets",Benedict XIII,"St. John of the Cross  (Spanish: Juan de la Cruz; Latin: Ioannes a Cruce; né Juan de Yepes y Álvarez; 24 June 1542 – 14 December 1591) was a Spanish Catholic priest, mystic, and Carmelite friar. He is a major figure of the Counter-Reformation in Spain, and he is one of the 38 Doctors of the Church.
Influenced by the older Carmelite nun Teresa of Ávila, he joined the Carmelite Order and was instrumental in the founding of the Discalced Carmelites, who wished to return to the stricter observances "
Philip Neri,1595,1622,Italy,Confessor,Oratorian,5.0,26.0,M,"Rome, humor, joy",Gregory XV,"Saint Philip Neri , born Filippo Romolo Neri, pronounced [fiˈlippo ˈrɔːmolo ˈneːri] (22 July 1515 – 26 May 1595) was an Italian Catholic priest who founded the Congregation of the Oratory, a society of secular clergy dedicated to pastoral care and charitable work. He is sometimes referred to as the ""Second Apostle of Rome"" after Saint Peter, and sometimes as the ""Third Apostle of Rome"", after Saint Peter and Saint Paul. Neri's spiritual mission emphasised personal holiness and direct service to "
Charles Borromeo,1584,1610,Italy,Confessor,,11.0,4.0,M,"seminarians, bishops, catechists",Paul V,"Charles Borromeo (Italian: Carlo Borromeo; Latin: Carolus Borromeus; 2 October 1538 – 3 November 1584) was an Italian Catholic prelate who served as Archbishop of Milan from 1564 to 1584. He was made a cardinal in 1560. 
Borromeo founded the Confraternity of Christian Doctrine and was a leading figure of the Counter-Reformation together with Ignatius of Loyola and Philip Neri. In that role, he was responsible for significant reforms in the Catholic Church, including the founding of seminaries fo"
Peter Canisius,1597,1925,Netherlands,Doctor,Jesuit,12.0,21.0,M,"Germany, press, Catholic press",Pius XI,"Peter Canisius  (Dutch: Pieter Kanis; 8 May 1521 – 21 December 1597) was a Dutch Jesuit priest known for his strong support for the Catholic faith during the Protestant Reformation in Germany, Austria, Bohemia, Moravia, Switzerland and the British Isles. The restoration of the Catholic Church in Germany is largely attributed to the work there of the Jesuits, which Canisius led. He is venerated in the Catholic Church as a saint and as a Doctor of the Church."
Robert Bellarmine,1621,1930,Italy,Doctor,Jesuit,9.0,17.0,M,"catechists, canon lawyers",Pius XI,"Robert Bellarmine  (; Italian: Roberto Francesco Romolo Bellarmino; 4 October 1542 – 17 September 1621) was an Italian Jesuit and a cardinal of the Catholic Church. He was canonized a saint in 1930 and named Doctor of the Church, one of only 27 at the time. He was one of the most important figures in the Counter-Reformation.
Bellarmine was a professor of theology and later rector of the Roman College, and in 1602 became Archbishop of Capua. He supported the reform decrees of the Council of Trent"
Francis de Sales,1622,1665,France,Doctor,,1.0,24.0,M,"journalists, writers, deaf people",Alexander VII,"Francis de Sales, C.O., O.M. (French: François de Sales; Italian: Francesco di Sales; Arpitan: Francês de Sâles; 21 August 1567 – 28 December 1622) was a Savoyard Catholic prelate who served as Bishop of Geneva and is a saint of the Catholic Church. He became noted for his deep faith and his gentle approach to the religious divisions in his land resulting from the Protestant Reformation. He is known also for his writings on the topic of spiritual direction and spiritual formation, particularly t"
Vincent de Paul,1660,1737,France,Confessor,Vincentian,9.0,27.0,M,"charities, volunteers, Madagascar",Clement XII,"Vincent de Paul, CM (24 April 1581 – 27 September 1660) was an Occitan French Catholic priest who dedicated himself to serving the poor.
Saint Vincent de Paul was ordained subdeacon and deacon at Tarbes Cathedral in South West France.
In 1622, Vincent was appointed as chaplain to the galleys. After working for some time in Paris among imprisoned galley slaves, he returned to be the superior of what is now known as the Congregation of the Mission, or the ""Vincentians"" (in France known as ""Lazaris"
Louise de Marillac,1660,1934,France,Confessor,Daughters of Charity,3.0,15.0,F,"social workers, widows",Pius XI,"Louise de Marillac , also known as Louise Le Gras, (August 12, 1591 – March 15, 1660) was the co-founder, with Vincent de Paul, of the Daughters of Charity. She is venerated as a saint by the Catholic Church and the Episcopal Church in the United States of America."
John Baptist de la Salle,1719,1900,France,Confessor,Brothers of the Christian Schools,4.0,7.0,M,"teachers, school principals",Leo XIII,"Jean-Baptiste de La Salle (pronounced [ʒɑ̃ batist də la sal]; English: John Baptist de La Salle ; 30 April 1651 – 7 April 1719) was a French priest, educational reformer, and founder of the Institute of the Brothers of the Christian Schools. He is a saint of the Catholic Church and the patron saint for teachers of youth. 
La Salle dedicated much of his life to the education of poor children in France; in doing so, he started many lasting educational practices."
Alphonsus Liguori,1787,1839,Italy,Doctor,Redemptorist,8.0,1.0,M,"confessors, moral theologians",Gregory XVI,"Alphonsus Maria de Liguori  (27 September 1696 – 1 August 1787) was an Italian Catholic bishop and saint, as well as a spiritual writer, composer, musician, artist, poet, lawyer, scholastic philosopher, and theologian. He founded the Congregation of the Most Holy Redeemer, known as the Redemptorists, in November 1732.
In 1762, he was appointed Bishop of Sant'Agata de' Goti. A prolific writer, he published nine editions of his Moral Theology in his lifetime, in addition to other devotional and as"
John Vianney,1859,1925,France,Confessor,,8.0,4.0,M,"parish priests, priests",Pius XI,"John Vianney (born Jean-Marie Vianney [ʒɑ̃ maʁi vjanɛ] and later Jean-Marie-Baptiste Vianney; 8 May 1786 – 4 August 1859) was a French Catholic priest and member of the Third Order of Mary who is often referred to as the Curé d'Ars (""the parish priest of Ars""). Canonized a saint in 1925, he is known for his priestly and pastoral work in his parish in Ars, France, resulting in the radical spiritual transformation of the community and its surroundings. Catholics note his saintly life, mortificatio"
Bernadette Soubirous,1879,1933,France,Confessor,,4.0,16.0,F,"sick people, poverty, France",Pius XI,"Bernadette Soubirous, SCN (; French: [bɛʁnadɛt subiʁu]; Occitan: Bernadeta Sobirós [beɾnaˈðetɔ suβiˈɾus]; 7 January 1844 – 16 April 1879), also known as Bernadette of Lourdes (religious name Marie-Bernarde), was a miller's daughter from Lourdes (Lorda in Occitan), in the department of Hautes-Pyrénées in France, and is best known for experiencing apparitions of a ""young lady"" who asked for a chapel to be built at the nearby cave-grotto. These apparitions occurred between 11 February and 16 July 1"
